total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Bulgaria,2021-01-01,imports,46011
Bulgaria,1995-01-01,exports,5220
Bulgaria,2005-01-01,exports,11739
Bulgaria,2010-01-01,exports,20608
Bulgaria,2015-01-01,exports,25779
Bulgaria,2019-01-01,exports,33454
Bulgaria,2020-01-01,exports,31915
Bulgaria,2021-01-01,exports,40894
Bulgaria,1995-01-01,balance_import_export,-249
Bulgaria,2005-01-01,balance_import_export,-6423
Bulgaria,2010-01-01,balance_import_export,-4752
Bulgaria,2015-01-01,balance_import_export,-3486
Bulgaria,2019-01-01,balance_import_export,-4311
Bulgaria,2020-01-01,balance_import_export,-3113
Bulgaria,2021-01-01,balance_import_export,-5117
Burkina Faso,1995-01-01,imports,484
Burkina Faso,2005-01-01,imports,1161
Burkina Faso,2010-01-01,imports,2048
Burkina Faso,2015-01-01,imports,2980
Burkina Faso,2019-01-01,imports,4259
Burkina Faso,2020-01-01,imports,4179
Burkina Faso,2021-01-01,imports,4710
Burkina Faso,1995-01-01,exports,171
Burkina Faso,2005-01-01,exports,332
Burkina Faso,2010-01-01,exports,1288
Burkina Faso,2015-01-01,exports,2177
Burkina Faso,2019-01-01,exports,3261
Burkina Faso,2020-01-01,exports,4375
Burkina Faso,2021-01-01,exports,5060
Burkina Faso,1995-01-01,balance_import_export,-313
Burkina Faso,2005-01-01,balance_import_export,-828
Burkina Faso,2010-01-01,balance_import_export,-760
Burkina Faso,2015-01-01,balance_import_export,-802
Burkina Faso,2019-01-01,balance_import_export,-998
Burkina Faso,2020-01-01,balance_import_export,196
Burkina Faso,2021-01-01,balance_import_export,350
Burundi,1995-01-01,imports,270
Burundi,2005-01-01,imports,258
Burundi,2010-01-01,imports,404
Burundi,2015-01-01,imports,561
Burundi,2019-01-01,imports,887
Burundi,2020-01-01,imports,909
Burundi,2021-01-01,imports,1085
Burundi,1995-01-01,exports,179
Burundi,2005-01-01,exports,114
Burundi,2010-01-01,exports,118
Burundi,2015-01-01,exports,114
Burundi,2019-01-01,exports,181
Burundi,2020-01-01,exports,162
Burundi,2021-01-01,exports,242
Burundi,1995-01-01,balance_import_export,-92
Burundi,2005-01-01,balance_import_export,-144
Burundi,2010-01-01,balance_import_export,-286
Burundi,2015-01-01,balance_import_export,-447
Burundi,2019-01-01,balance_import_export,-706
Burundi,2020-01-01,balance_import_export,-747
Burundi,2021-01-01,balance_import_export,-843
Cabo Verde,1995-01-01,imports,252
Cabo Verde,2005-01-01,imports,438
Cabo Verde,2010-01-01,imports,731
Cabo Verde,2015-01-01,imports,603
Cabo Verde,2019-01-01,imports,790
Cabo Verde,2020-01-01,imports,1131
Cabo Verde,2021-01-01,imports,1169
Cabo Verde,1995-01-01,exports,9
Cabo Verde,2005-01-01,exports,89
Cabo Verde,2010-01-01,exports,220
Cabo Verde,2015-01-01,exports,67
Cabo Verde,2019-01-01,exports,62
Cabo Verde,2020-01-01,exports,53
Cabo Verde,2021-01-01,exports,64
Cabo Verde,1995-01-01,balance_import_export,-243
Cabo Verde,2005-01-01,balance_import_export,-349
Cabo Verde,2010-01-01,balance_import_export,-511
Cabo Verde,2015-01-01,balance_import_export,-537
Cabo Verde,2019-01-01,balance_import_export,-728
Cabo Verde,2020-01-01,balance_import_export,-1078
Cabo Verde,2021-01-01,balance_import_export,-1105
Cambodia,1995-01-01,imports,217
Cambodia,2005-01-01,imports,2552
Cambodia,2010-01-01,imports,4903
Cambodia,2015-01-01,imports,10669
Cambodia,2019-01-01,imports,20279
Cambodia,2020-01-01,imports,19114
Cambodia,2021-01-01,imports,28318
Cambodia,1995-01-01,exports,76
Cambodia,2005-01-01,exports,3019
Cambodia,2010-01-01,exports,5590
Cambodia,2015-01-01,exports,8542
Cambodia,2019-01-01,exports,14825
Cambodia,2020-01-01,exports,17716
Cambodia,2021-01-01,exports,18210
Cambodia,1995-01-01,balance_import_export,-142
Cambodia,2005-01-01,balance_import_export,467
Cambodia,2010-01-01,balance_import_export,688
Cambodia,2015-01-01,balance_import_export,-2126
Cambodia,2019-01-01,balance_import_export,-5454
Cambodia,2020-01-01,balance_import_export,-1398
Cambodia,2021-01-01,balance_import_export,-10108
Cameroon,1995-01-01,imports,1079
Cameroon,2005-01-01,imports,2800
Cameroon,2010-01-01,imports,5133
Cameroon,2015-01-01,imports,6037
Cameroon,2019-01-01,imports,5707
Cameroon,2020-01-01,imports,6204
Cameroon,2021-01-01,imports,7534
Cameroon,1995-01-01,exports,1539
Cameroon,2005-01-01,exports,2849
Cameroon,2010-01-01,exports,3878
Cameroon,2015-01-01,exports,4053
Cameroon,2019-01-01,exports,4327
Cameroon,2020-01-01,exports,3574
Cameroon,2021-01-01,exports,4512
Cameroon,1995-01-01,balance_import_export,460
Cameroon,2005-01-01,balance_import_export,49
Cameroon,2010-01-01,balance_import_export,-1255
Cameroon,2015-01-01,balance_import_export,-1984
Cameroon,2019-01-01,balance_import_export,-1380
Cameroon,2020-01-01,balance_import_export,-2630
Cameroon,2021-01-01,balance_import_export,-3023
Canada,1995-01-01,imports,164371
Canada,2005-01-01,imports,314444
Canada,2010-01-01,imports,392109
Canada,2015-01-01,imports,419375
Canada,2019-01-01,imports,453631
Canada,2020-01-01,imports,404863
Canada,2021-01-01,imports,489490
Canada,1995-01-01,exports,191118
Canada,2005-01-01,exports,360552
Canada,2010-01-01,exports,386580
Canada,2015-01-01,exports,408697
Canada,2019-01-01,exports,445493
Canada,2020-01-01,exports,388377
Canada,2021-01-01,exports,501201
Canada,1995-01-01,balance_import_export,26747
Canada,2005-01-01,balance_import_export,46108
Canada,2010-01-01,balance_import_export,-5529
Canada,2015-01-01,balance_import_export,-10677
Canada,2019-01-01,balance_import_export,-8138
Canada,2020-01-01,balance_import_export,-16486
Canada,2021-01-01,balance_import_export,11711
Cayman Islands,1995-01-01,imports,390
Cayman Islands,2005-01-01,imports,1191
Cayman Islands,2010-01-01,imports,828
Cayman Islands,2015-01-01,imports,915
Cayman Islands,2019-01-01,imports,1420
Cayman Islands,2020-01-01,imports,1335
Cayman Islands,2021-01-01,imports,1538
Cayman Islands,1995-01-01,exports,4
Cayman Islands,2005-01-01,exports,52
Cayman Islands,2010-01-01,exports,24
Cayman Islands,2015-01-01,exports,65
Cayman Islands,2019-01-01,exports,50
Cayman Islands,2020-01-01,exports,22
Cayman Islands,2021-01-01,exports,17
Cayman Islands,1995-01-01,balance_import_export,-386
Cayman Islands,2005-01-01,balance_import_export,-1138
Cayman Islands,2010-01-01,balance_import_export,-804
Cayman Islands,2015-01-01,balance_import_export,-851
Cayman Islands,2019-01-01,balance_import_export,-1370
Cayman Islands,2020-01-01,balance_import_export,-1312
Cayman Islands,2021-01-01,balance_import_export,-1521
Central African Republic,1995-01-01,imports,265
Central African Republic,2005-01-01,imports,185
Central African Republic,2010-01-01,imports,210
Central African Republic,2015-01-01,imports,457
Central African Republic,2019-01-01,imports,451
Central African Republic,2020-01-01,imports,438
Central African Republic,2021-01-01,imports,530
Central African Republic,1995-01-01,exports,120
Central African Republic,2005-01-01,exports,111
Central African Republic,2010-01-01,exports,90
Central African Republic,2015-01-01,exports,97
Central African Republic,2019-01-01,exports,45
Central African Republic,2020-01-01,exports,58
Central African Republic,2021-01-01,exports,72
Central African Republic,1995-01-01,balance_import_export,-146
Central African Republic,2005-01-01,balance_import_export,-75
Central African Republic,2010-01-01,balance_import_export,-120
Central African Republic,2015-01-01,balance_import_export,-360
Central African Republic,2019-01-01,balance_import_export,-406
Central African Republic,2020-01-01,balance_import_export,-380
Central African Republic,2021-01-01,balance_import_export,-458
Chad,1995-01-01,imports,214
Chad,2005-01-01,imports,953
Chad,2010-01-01,imports,2507
Chad,2015-01-01,imports,2200
Chad,2019-01-01,imports,1063
Chad,2020-01-01,imports,1032
Chad,2021-01-01,imports,1055
Chad,1995-01-01,exports,243
Chad,2005-01-01,exports,3095
Chad,2010-01-01,exports,3410
Chad,2015-01-01,exports,2900
Chad,2019-01-01,exports,1267
Chad,2020-01-01,exports,1450
Chad,2021-01-01,exports,1974
Chad,1995-01-01,balance_import_export,28
Chad,2005-01-01,balance_import_export,2142
Chad,2010-01-01,balance_import_export,904
Chad,2015-01-01,balance_import_export,700
Chad,2019-01-01,balance_import_export,204
Chad,2020-01-01,balance_import_export,418
Chad,2021-01-01,balance_import_export,919
Chile,1995-01-01,imports,14903
Chile,2005-01-01,imports,32927
Chile,2010-01-01,imports,59007
Chile,2015-01-01,imports,62387
Chile,2019-01-01,imports,69591
Chile,2020-01-01,imports,59215
Chile,2021-01-01,imports,91837
Chile,1995-01-01,exports,15901
Chile,2005-01-01,exports,41973
Chile,2010-01-01,exports,71106
Chile,2015-01-01,exports,62033
Chile,2019-01-01,exports,69681
Chile,2020-01-01,exports,73480
Chile,2021-01-01,exports,94705
Chile,1995-01-01,balance_import_export,998
Chile,2005-01-01,balance_import_export,9046
Chile,2010-01-01,balance_import_export,12099
Chile,2015-01-01,balance_import_export,-354
Chile,2019-01-01,balance_import_export,90
Chile,2020-01-01,balance_import_export,14265
Chile,2021-01-01,balance_import_export,2868
China,1995-01-01,imports,131353
China,2005-01-01,imports,659953
China,2010-01-01,imports,1396002
China,2015-01-01,imports,1679564
China,2019-01-01,imports,2079285
China,2020-01-01,imports,2069568
China,2021-01-01,imports,2684363
China,1995-01-01,exports,148616
China,2005-01-01,exports,761953
China,2010-01-01,exports,1577764
China,2015-01-01,exports,2273468
China,2019-01-01,exports,2499207
China,2020-01-01,exports,2589098
China,2021-01-01,exports,3362302
China,1995-01-01,balance_import_export,17263
China,2005-01-01,balance_import_export,102001
China,2010-01-01,balance_import_export,181762
China,2015-01-01,balance_import_export,593904
China,2019-01-01,balance_import_export,419921
China,2020-01-01,balance_import_export,519530
China,2021-01-01,balance_import_export,677939
"China, Hong Kong SAR",1995-01-01,imports,196072
"China, Hong Kong SAR",2005-01-01,imports,300160
"China, Hong Kong SAR",2010-01-01,imports,441369
"China, Hong Kong SAR",2015-01-01,imports,559306
"China, Hong Kong SAR",2019-01-01,imports,578590
"China, Hong Kong SAR",2020-01-01,imports,573061
"China, Hong Kong SAR",2021-01-01,imports,713173
"China, Hong Kong SAR",1995-01-01,exports,173871
"China, Hong Kong SAR",2005-01-01,exports,292119
"China, Hong Kong SAR",2010-01-01,exports,400692
"China, Hong Kong SAR",2015-01-01,exports,510553
"China, Hong Kong SAR",2019-01-01,exports,535711
"China, Hong Kong SAR",2020-01-01,exports,551516
"China, Hong Kong SAR",2021-01-01,exports,670926
"China, Hong Kong SAR",1995-01-01,balance_import_export,-22201
"China, Hong Kong SAR",2005-01-01,balance_import_export,-8042
"China, Hong Kong SAR",2010-01-01,balance_import_export,-40677
"China, Hong Kong SAR",2015-01-01,balance_import_export,-48753
"China, Hong Kong SAR",2019-01-01,balance_import_export,-42879
"China, Hong Kong SAR",2020-01-01,balance_import_export,-21546
"China, Hong Kong SAR",2021-01-01,balance_import_export,-42247
"China, Macao SAR",1995-01-01,imports,2025
"China, Macao SAR",2005-01-01,imports,4514
"China, Macao SAR",2010-01-01,imports,5629
"China, Macao SAR",2015-01-01,imports,10603
"China, Macao SAR",2019-01-01,imports,12024
"China, Macao SAR",2020-01-01,imports,11950
"China, Macao SAR",2021-01-01,imports,19347
"China, Macao SAR",1995-01-01,exports,2025
"China, Macao SAR",2005-01-01,exports,2474
"China, Macao SAR",2010-01-01,exports,870
"China, Macao SAR",2015-01-01,exports,1339
"China, Macao SAR",2019-01-01,exports,1024
"China, Macao SAR",2020-01-01,exports,1025
"China, Macao SAR",2021-01-01,exports,1392
"China, Macao SAR",1995-01-01,balance_import_export,-1
"China, Macao SAR",2005-01-01,balance_import_export,-2040
"China, Macao SAR",2010-01-01,balance_import_export,-4760
"China, Macao SAR",2015-01-01,balance_import_export,-9264
"China, Macao SAR",2019-01-01,balance_import_export,-11000
"China, Macao SAR",2020-01-01,balance_import_export,-10926
"China, Macao SAR",2021-01-01,balance_import_export,-17954
Colombia,1995-01-01,imports,13883
Colombia,2005-01-01,imports,21204
Colombia,2010-01-01,imports,40683
Colombia,2015-01-01,imports,54036
Colombia,2019-01-01,imports,52696
Colombia,2020-01-01,imports,43487
Colombia,2021-01-01,imports,61099
Colombia,1995-01-01,exports,10201
Colombia,2005-01-01,exports,21190
Colombia,2010-01-01,exports,39820
Colombia,2015-01-01,exports,35691
Colombia,2019-01-01,exports,39489
Colombia,2020-01-01,exports,31056
Colombia,2021-01-01,exports,41390
Colombia,1995-01-01,balance_import_export,-3682
Colombia,2005-01-01,balance_import_export,-14
Colombia,2010-01-01,balance_import_export,-863
Colombia,2015-01-01,balance_import_export,-18345
Colombia,2019-01-01,balance_import_export,-13207
Colombia,2020-01-01,balance_import_export,-12432
Colombia,2021-01-01,balance_import_export,-19709
Comoros,1995-01-01,imports,62
Comoros,2005-01-01,imports,85
Comoros,2010-01-01,imports,181
Comoros,2015-01-01,imports,173
Comoros,2019-01-01,imports,201
Comoros,2020-01-01,imports,268
Comoros,2021-01-01,imports,311
Comoros,1995-01-01,exports,11
Comoros,2005-01-01,exports,4
Comoros,2010-01-01,exports,14
Comoros,2015-01-01,exports,15
Comoros,2019-01-01,exports,49
Comoros,2020-01-01,exports,20
Comoros,2021-01-01,exports,18
Comoros,1995-01-01,balance_import_export,-51
Comoros,2005-01-01,balance_import_export,-81
Comoros,2010-01-01,balance_import_export,-167
Comoros,2015-01-01,balance_import_export,-158
Comoros,2019-01-01,balance_import_export,-152
Comoros,2020-01-01,balance_import_export,-248
Comoros,2021-01-01,balance_import_export,-294
Congo,1995-01-01,imports,556
Congo,2005-01-01,imports,1342
Congo,2010-01-01,imports,4369
Congo,2015-01-01,imports,10550
Congo,2019-01-01,imports,2242
Congo,2020-01-01,imports,1908
Congo,2021-01-01,imports,2437
Congo,1995-01-01,exports,1090
Congo,2005-01-01,exports,4744
Congo,2010-01-01,exports,6918
Congo,2015-01-01,exports,8623
Congo,2019-01-01,exports,5576
Congo,2020-01-01,exports,4893
Congo,2021-01-01,exports,6667
Congo,1995-01-01,balance_import_export,534
Congo,2005-01-01,balance_import_export,3402
Congo,2010-01-01,balance_import_export,2548
Congo,2015-01-01,balance_import_export,-1927
Congo,2019-01-01,balance_import_export,3334
Congo,2020-01-01,balance_import_export,2985
Congo,2021-01-01,balance_import_export,4230
Cook Islands,1995-01-01,imports,49
Cook Islands,2005-01-01,imports,81
Cook Islands,2010-01-01,imports,91
Cook Islands,2015-01-01,imports,109
Cook Islands,2019-01-01,imports,134
Cook Islands,2020-01-01,imports,105
Cook Islands,2021-01-01,imports,66
Cook Islands,1995-01-01,exports,5
Cook Islands,2005-01-01,exports,5
Cook Islands,2010-01-01,exports,5
Cook Islands,2015-01-01,exports,14
Cook Islands,2019-01-01,exports,17
Cook Islands,2020-01-01,exports,19
Cook Islands,2021-01-01,exports,4
Cook Islands,1995-01-01,balance_import_export,-44
Cook Islands,2005-01-01,balance_import_export,-76
Cook Islands,2010-01-01,balance_import_export,-85
Cook Islands,2015-01-01,balance_import_export,-95
Cook Islands,2019-01-01,balance_import_export,-117
Cook Islands,2020-01-01,balance_import_export,-85
Cook Islands,2021-01-01,balance_import_export,-63
Costa Rica,1995-01-01,imports,3205
Costa Rica,2005-01-01,imports,9173
Costa Rica,2010-01-01,imports,13920
Costa Rica,2015-01-01,imports,15504
Costa Rica,2019-01-01,imports,16106
Costa Rica,2020-01-01,imports,14456
Costa Rica,2021-01-01,imports,17659
Costa Rica,1995-01-01,exports,2702
Costa Rica,2005-01-01,exports,7151
Costa Rica,2010-01-01,exports,9045
Costa Rica,2015-01-01,exports,9578
Costa Rica,2019-01-01,exports,11452
Costa Rica,2020-01-01,exports,11623
Costa Rica,2021-01-01,exports,16060
Costa Rica,1995-01-01,balance_import_export,-504
Costa Rica,2005-01-01,balance_import_export,-2023
Costa Rica,2010-01-01,balance_import_export,-4875
Costa Rica,2015-01-01,balance_import_export,-5926
Costa Rica,2019-01-01,balance_import_export,-4654
Costa Rica,2020-01-01,balance_import_export,-2833
Costa Rica,2021-01-01,balance_import_export,-1599
Côte d’Ivoire,1995-01-01,imports,2472
Côte d’Ivoire,2005-01-01,imports,5865
Côte d’Ivoire,2010-01-01,imports,7849
Côte d’Ivoire,2015-01-01,imports,10406
Côte d’Ivoire,2019-01-01,imports,10483
Côte d’Ivoire,2020-01-01,imports,10605
Côte d’Ivoire,2021-01-01,imports,14043
Côte d’Ivoire,1995-01-01,exports,3736
Côte d’Ivoire,2005-01-01,exports,7248
Côte d’Ivoire,2010-01-01,exports,10284
Côte d’Ivoire,2015-01-01,exports,12560
Côte d’Ivoire,2019-01-01,exports,12718
Côte d’Ivoire,2020-01-01,exports,12429
Côte d’Ivoire,2021-01-01,exports,15384
Côte d’Ivoire,1995-01-01,balance_import_export,1264
Côte d’Ivoire,2005-01-01,balance_import_export,1383
Côte d’Ivoire,2010-01-01,balance_import_export,2434
Côte d’Ivoire,2015-01-01,balance_import_export,2154
Côte d’Ivoire,2019-01-01,balance_import_export,2235
Côte d’Ivoire,2020-01-01,balance_import_export,1824
Côte d’Ivoire,2021-01-01,balance_import_export,1341
Croatia,1995-01-01,imports,7509
Croatia,2005-01-01,imports,18560
Croatia,2010-01-01,imports,20067
Croatia,2015-01-01,imports,20580
Croatia,2019-01-01,imports,28004
Croatia,2020-01-01,imports,26096
Croatia,2021-01-01,imports,33646
Croatia,1995-01-01,exports,4633
Croatia,2005-01-01,exports,8773
Croatia,2010-01-01,exports,11811
Croatia,2015-01-01,exports,12844
Croatia,2019-01-01,exports,17063
Croatia,2020-01-01,exports,16991
Croatia,2021-01-01,exports,22674
Croatia,1995-01-01,balance_import_export,-2877
Croatia,2005-01-01,balance_import_export,-9788
Croatia,2010-01-01,balance_import_export,-8256
Croatia,2015-01-01,balance_import_export,-7737
Croatia,2019-01-01,balance_import_export,-10941
Croatia,2020-01-01,balance_import_export,-9105
Croatia,2021-01-01,balance_import_export,-10972
Cuba,1995-01-01,imports,2874
Cuba,2005-01-01,imports,8084
Cuba,2010-01-01,imports,11488
Cuba,2015-01-01,imports,12638
Cuba,2019-01-01,imports,7137
Cuba,2020-01-01,imports,5121
Cuba,2021-01-01,imports,5292
Cuba,1995-01-01,exports,1491
Cuba,2005-01-01,exports,2319
Cuba,2010-01-01,exports,4914
Cuba,2015-01-01,exports,3618
Cuba,2019-01-01,exports,962
Cuba,2020-01-01,exports,1092
Cuba,2021-01-01,exports,1006
Cuba,1995-01-01,balance_import_export,-1384
Cuba,2005-01-01,balance_import_export,-5766
Cuba,2010-01-01,balance_import_export,-6574
Cuba,2015-01-01,balance_import_export,-9020
Cuba,2019-01-01,balance_import_export,-6175
Cuba,2020-01-01,balance_import_export,-4029
Cuba,2021-01-01,balance_import_export,-4285
Cyprus,1995-01-01,imports,3694
Cyprus,2005-01-01,imports,6382
Cyprus,2010-01-01,imports,8645
Cyprus,2015-01-01,imports,7133
Cyprus,2019-01-01,imports,9179
Cyprus,2020-01-01,imports,8729
Cyprus,2021-01-01,imports,10089
Cyprus,1995-01-01,exports,1231
Cyprus,2005-01-01,exports,1546
Cyprus,2010-01-01,exports,1506
Cyprus,2015-01-01,exports,3367
Cyprus,2019-01-01,exports,3521
Cyprus,2020-01-01,exports,3137
Cyprus,2021-01-01,exports,3887
Cyprus,1995-01-01,balance_import_export,-2463
Cyprus,2005-01-01,balance_import_export,-4836
Cyprus,2010-01-01,balance_import_export,-7138
Cyprus,2015-01-01,balance_import_export,-3766
Cyprus,2019-01-01,balance_import_export,-5658
Cyprus,2020-01-01,balance_import_export,-5591
Cyprus,2021-01-01,balance_import_export,-6202
Czechia,1995-01-01,imports,25303
Czechia,2005-01-01,imports,76527
Czechia,2010-01-01,imports,125691
Czechia,2015-01-01,imports,140716
Czechia,2019-01-01,imports,179273
Czechia,2020-01-01,imports,171440
Czechia,2021-01-01,imports,211839
Czechia,1995-01-01,exports,21686
Czechia,2005-01-01,exports,78209
Czechia,2010-01-01,exports,132141
Czechia,2015-01-01,exports,157194
Czechia,2019-01-01,exports,199470
Czechia,2020-01-01,exports,192307
Czechia,2021-01-01,exports,227161
Czechia,1995-01-01,balance_import_export,-3618
Czechia,2005-01-01,balance_import_export,1681
Czechia,2010-01-01,balance_import_export,6450
Czechia,2015-01-01,balance_import_export,16478
Czechia,2019-01-01,balance_import_export,20197
Czechia,2020-01-01,balance_import_export,20867
Czechia,2021-01-01,balance_import_export,15322
Dem. People's Rep. Korea,1995-01-01,imports,3122
Dem. People's Rep. Korea,2005-01-01,imports,1466
Dem. People's Rep. Korea,2010-01-01,imports,1957
Dem. People's Rep. Korea,2015-01-01,imports,2604
Dem. People's Rep. Korea,2019-01-01,imports,2958
Dem. People's Rep. Korea,2020-01-01,imports,617
Dem. People's Rep. Korea,2021-01-01,imports,308
Dem. People's Rep. Korea,1995-01-01,exports,1739
Dem. People's Rep. Korea,2005-01-01,exports,787
Dem. People's Rep. Korea,2010-01-01,exports,882
Dem. People's Rep. Korea,2015-01-01,exports,987
Dem. People's Rep. Korea,2019-01-01,exports,435
Dem. People's Rep. Korea,2020-01-01,exports,212
Dem. People's Rep. Korea,2021-01-01,exports,247
Dem. People's Rep. Korea,1995-01-01,balance_import_export,-1382
Dem. People's Rep. Korea,2005-01-01,balance_import_export,-679
Dem. People's Rep. Korea,2010-01-01,balance_import_export,-1075
Dem. People's Rep. Korea,2015-01-01,balance_import_export,-1617
Dem. People's Rep. Korea,2019-01-01,balance_import_export,-2523
Dem. People's Rep. Korea,2020-01-01,balance_import_export,-404
Dem. People's Rep. Korea,2021-01-01,balance_import_export,-62
Dem. Rep. of the Congo,1995-01-01,imports,869
Dem. Rep. of the Congo,2005-01-01,imports,2268
Dem. Rep. of the Congo,2010-01-01,imports,4500
Dem. Rep. of the Congo,2015-01-01,imports,6200
Dem. Rep. of the Congo,2019-01-01,imports,8825
Dem. Rep. of the Congo,2020-01-01,imports,6663
Dem. Rep. of the Congo,2021-01-01,imports,9697
Dem. Rep. of the Congo,1995-01-01,exports,1562
Dem. Rep. of the Congo,2005-01-01,exports,2190
Dem. Rep. of the Congo,2010-01-01,exports,5300
Dem. Rep. of the Congo,2015-01-01,exports,5800
Dem. Rep. of the Congo,2019-01-01,exports,13382
Dem. Rep. of the Congo,2020-01-01,exports,14122
Dem. Rep. of the Congo,2021-01-01,exports,29245
Dem. Rep. of the Congo,1995-01-01,balance_import_export,693
Dem. Rep. of the Congo,2005-01-01,balance_import_export,-78
Dem. Rep. of the Congo,2010-01-01,balance_import_export,800
Dem. Rep. of the Congo,2015-01-01,balance_import_export,-400
Dem. Rep. of the Congo,2019-01-01,balance_import_export,4557
Dem. Rep. of the Congo,2020-01-01,balance_import_export,7459
Dem. Rep. of the Congo,2021-01-01,balance_import_export,19548
Denmark,1995-01-01,imports,43142
Denmark,2005-01-01,imports,72716
Denmark,2010-01-01,imports,82724
Denmark,2015-01-01,imports,85327
Denmark,2019-01-01,imports,97472
Denmark,2020-01-01,imports,96872
Denmark,2021-01-01,imports,121628
Denmark,1995-01-01,exports,48789
Denmark,2005-01-01,exports,82278
Denmark,2010-01-01,exports,96217
Denmark,2015-01-01,exports,94619
Denmark,2019-01-01,exports,110230
Denmark,2020-01-01,exports,107223
Denmark,2021-01-01,exports,125200
Denmark,1995-01-01,balance_import_export,5648
Denmark,2005-01-01,balance_import_export,9562
Denmark,2010-01-01,balance_import_export,13492
Denmark,2015-01-01,balance_import_export,9291
Denmark,2019-01-01,balance_import_export,12758
Denmark,2020-01-01,balance_import_export,10352
Denmark,2021-01-01,balance_import_export,3572
Djibouti,1995-01-01,imports,176
Djibouti,2005-01-01,imports,277
Djibouti,2010-01-01,imports,603
Djibouti,2015-01-01,imports,890
Djibouti,2019-01-01,imports,1311
Djibouti,2020-01-01,imports,1315
Djibouti,2021-01-01,imports,1591
Djibouti,1995-01-01,exports,13
Djibouti,2005-01-01,exports,39
Djibouti,2010-01-01,exports,470
Djibouti,2015-01-01,exports,132
Djibouti,2019-01-01,exports,318
Djibouti,2020-01-01,exports,348
Djibouti,2021-01-01,exports,381
Djibouti,1995-01-01,balance_import_export,-163
Djibouti,2005-01-01,balance_import_export,-238
Djibouti,2010-01-01,balance_import_export,-133
Djibouti,2015-01-01,balance_import_export,-758
Djibouti,2019-01-01,balance_import_export,-994
Djibouti,2020-01-01,balance_import_export,-967
Djibouti,2021-01-01,balance_import_export,-1209
Dominica,1995-01-01,imports,117
Dominica,2005-01-01,imports,165
Dominica,2010-01-01,imports,225
Dominica,2015-01-01,imports,214
Dominica,2019-01-01,imports,608
Dominica,2020-01-01,imports,272
Dominica,2021-01-01,imports,865
Dominica,1995-01-01,exports,45
Dominica,2005-01-01,exports,42
Dominica,2010-01-01,exports,34
Dominica,2015-01-01,exports,30
Dominica,2019-01-01,exports,41
Dominica,2020-01-01,exports,33
Dominica,2021-01-01,exports,29
Dominica,1995-01-01,balance_import_export,-72
Dominica,2005-01-01,balance_import_export,-124
Dominica,2010-01-01,balance_import_export,-190
Dominica,2015-01-01,balance_import_export,-184
Dominica,2019-01-01,balance_import_export,-567
Dominica,2020-01-01,balance_import_export,-239
Dominica,2021-01-01,balance_import_export,-835
Dominican Republic,1995-01-01,imports,3155
Dominican Republic,2005-01-01,imports,6804
Dominican Republic,2010-01-01,imports,15138
Dominican Republic,2015-01-01,imports,17348
Dominican Republic,2019-01-01,imports,21983
Dominican Republic,2020-01-01,imports,18508
Dominican Republic,2021-01-01,imports,26875
Dominican Republic,1995-01-01,exports,872
Dominican Republic,2005-01-01,exports,6183
Dominican Republic,2010-01-01,exports,4767
Dominican Republic,2015-01-01,exports,8384
Dominican Republic,2019-01-01,exports,11287
Dominican Republic,2020-01-01,exports,9845
Dominican Republic,2021-01-01,exports,11725
Dominican Republic,1995-01-01,balance_import_export,-2283
Dominican Republic,2005-01-01,balance_import_export,-621
Dominican Republic,2010-01-01,balance_import_export,-10371
Dominican Republic,2015-01-01,balance_import_export,-8964
Dominican Republic,2019-01-01,balance_import_export,-10696
Dominican Republic,2020-01-01,balance_import_export,-8663
Dominican Republic,2021-01-01,balance_import_export,-15150
Ecuador,1995-01-01,imports,4195
Ecuador,2005-01-01,imports,9609
Ecuador,2010-01-01,imports,20591
Ecuador,2015-01-01,imports,21387
Ecuador,2019-01-01,imports,22564
Ecuador,2020-01-01,imports,17918
Ecuador,2021-01-01,imports,25687
Ecuador,1995-01-01,exports,4361
Ecuador,2005-01-01,exports,9869
Ecuador,2010-01-01,exports,17490
Ecuador,2015-01-01,exports,18331
Ecuador,2019-01-01,exports,22329
Ecuador,2020-01-01,exports,20355
Ecuador,2021-01-01,exports,26699
Ecuador,1995-01-01,balance_import_export,166
Ecuador,2005-01-01,balance_import_export,261
Ecuador,2010-01-01,balance_import_export,-3101
Ecuador,2015-01-01,balance_import_export,-3057
Ecuador,2019-01-01,balance_import_export,-235
Ecuador,2020-01-01,balance_import_export,2437
Ecuador,2021-01-01,balance_import_export,1012
Egypt,1995-01-01,imports,11739
Egypt,2005-01-01,imports,19812
Egypt,2010-01-01,imports,53003
Egypt,2015-01-01,imports,73975
Egypt,2019-01-01,imports,78658
Egypt,2020-01-01,imports,60280
Egypt,2021-01-01,imports,73781
Egypt,1995-01-01,exports,3444
Egypt,2005-01-01,exports,10646
Egypt,2010-01-01,exports,26332
Egypt,2015-01-01,exports,21852
Egypt,2019-01-01,exports,30633
Egypt,2020-01-01,exports,26815
Egypt,2021-01-01,exports,40702
Egypt,1995-01-01,balance_import_export,-8295
Egypt,2005-01-01,balance_import_export,-9166
Egypt,2010-01-01,balance_import_export,-26672
Egypt,2015-01-01,balance_import_export,-52123
Egypt,2019-01-01,balance_import_export,-48025
Egypt,2020-01-01,balance_import_export,-33464
