total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Southern Africa,1995-01-01,balance_import_export,1470
Southern Africa,2005-01-01,balance_import_export,-7711
Southern Africa,2010-01-01,balance_import_export,-2491
Southern Africa,2015-01-01,balance_import_export,-10527
Southern Africa,2019-01-01,balance_import_export,-2339
Southern Africa,2020-01-01,balance_import_export,12299
Southern Africa,2021-01-01,balance_import_export,26133
Western Africa,1995-01-01,imports,19153
Western Africa,2005-01-01,imports,44948
Western Africa,2010-01-01,imports,83254
Western Africa,2015-01-01,imports,87237
Western Africa,2019-01-01,imports,105820
Western Africa,2020-01-01,imports,114903
Western Africa,2021-01-01,imports,125546
Western Africa,1995-01-01,exports,21750
Western Africa,2005-01-01,exports,71221
Western Africa,2010-01-01,exports,113448
Western Africa,2015-01-01,exports,89100
Western Africa,2019-01-01,exports,103341
Western Africa,2020-01-01,exports,89698
Western Africa,2021-01-01,exports,114948
Western Africa,1995-01-01,balance_import_export,2597
Western Africa,2005-01-01,balance_import_export,26273
Western Africa,2010-01-01,balance_import_export,30194
Western Africa,2015-01-01,balance_import_export,1863
Western Africa,2019-01-01,balance_import_export,-2479
Western Africa,2020-01-01,balance_import_export,-25206
Western Africa,2021-01-01,balance_import_export,-10598
Americas,1995-01-01,imports,1178848
Americas,2005-01-01,imports,2557150
Americas,2010-01-01,imports,3230657
Americas,2015-01-01,imports,3739612
Americas,2019-01-01,imports,4098922
Americas,2020-01-01,imports,3723598
Americas,2021-01-01,imports,4666199
Americas,1995-01-01,exports,997709
Americas,2005-01-01,exports,1835325
Americas,2010-01-01,exports,2551125
Americas,2015-01-01,exports,2827588
Americas,2019-01-01,exports,3133901
Americas,2020-01-01,exports,2766237
Americas,2021-01-01,exports,3448620
Americas,1995-01-01,balance_import_export,-181139
Americas,2005-01-01,balance_import_export,-721825
Americas,2010-01-01,balance_import_export,-679532
Americas,2015-01-01,balance_import_export,-912024
Americas,2019-01-01,balance_import_export,-965021
Americas,2020-01-01,balance_import_export,-957362
Americas,2021-01-01,balance_import_export,-1217579
Northern America,1995-01-01,imports,936343
Northern America,2005-01-01,imports,2048668
Northern America,2010-01-01,imports,2362932
Northern America,2015-01-01,imports,2736654
Northern America,2019-01-01,imports,3027250
Northern America,2020-01-01,imports,2816405
Northern America,2021-01-01,imports,3429541
Northern America,1995-01-01,exports,774525
Northern America,2005-01-01,exports,1265374
Northern America,2010-01-01,exports,1665220
Northern America,2015-01-01,exports,1911491
Northern America,2019-01-01,exports,2091764
Northern America,2020-01-01,exports,1820918
Northern America,2021-01-01,exports,2256905
Northern America,1995-01-01,balance_import_export,-161818
Northern America,2005-01-01,balance_import_export,-783295
Northern America,2010-01-01,balance_import_export,-697713
Northern America,2015-01-01,balance_import_export,-825163
Northern America,2019-01-01,balance_import_export,-935486
Northern America,2020-01-01,balance_import_export,-995486
Northern America,2021-01-01,balance_import_export,-1172635
Latin America & the Caribbean,1995-01-01,imports,242505
Latin America & the Caribbean,2005-01-01,imports,508481
Latin America & the Caribbean,2010-01-01,imports,867725
Latin America & the Caribbean,2015-01-01,imports,1002958
Latin America & the Caribbean,2019-01-01,imports,1071672
Latin America & the Caribbean,2020-01-01,imports,907194
Latin America & the Caribbean,2021-01-01,imports,1236659
Latin America & the Caribbean,1995-01-01,exports,223184
Latin America & the Caribbean,2005-01-01,exports,569951
Latin America & the Caribbean,2010-01-01,exports,885906
Latin America & the Caribbean,2015-01-01,exports,916097
Latin America & the Caribbean,2019-01-01,exports,1042137
Latin America & the Caribbean,2020-01-01,exports,945318
Latin America & the Caribbean,2021-01-01,exports,1191715
Latin America & the Caribbean,1995-01-01,balance_import_export,-19321
Latin America & the Caribbean,2005-01-01,balance_import_export,61470
Latin America & the Caribbean,2010-01-01,balance_import_export,18181
Latin America & the Caribbean,2015-01-01,balance_import_export,-86861
Latin America & the Caribbean,2019-01-01,balance_import_export,-29535
Latin America & the Caribbean,2020-01-01,balance_import_export,38124
Latin America & the Caribbean,2021-01-01,balance_import_export,-44944
Caribbean,1995-01-01,imports,20945
Caribbean,2005-01-01,imports,36923
Caribbean,2010-01-01,imports,53245
Caribbean,2015-01-01,imports,58007
Caribbean,2019-01-01,imports,56680
Caribbean,2020-01-01,imports,47225
Caribbean,2021-01-01,imports,59502
Caribbean,1995-01-01,exports,8346
Caribbean,2005-01-01,exports,21331
Caribbean,2010-01-01,exports,24874
Caribbean,2015-01-01,exports,26475
Caribbean,2019-01-01,exports,23478
Caribbean,2020-01-01,exports,19682
Caribbean,2021-01-01,exports,25895
Caribbean,1995-01-01,balance_import_export,-12598
Caribbean,2005-01-01,balance_import_export,-15592
Caribbean,2010-01-01,balance_import_export,-28371
Caribbean,2015-01-01,balance_import_export,-31533
Caribbean,2019-01-01,balance_import_export,-33203
Caribbean,2020-01-01,balance_import_export,-27543
Caribbean,2021-01-01,balance_import_export,-33607
Central America,1995-01-01,imports,87084
Central America,2005-01-01,imports,259847
Central America,2010-01-01,imports,366171
Central America,2015-01-01,imports,464286
Central America,2019-01-01,imports,541427
Central America,2020-01-01,imports,456537
Central America,2021-01-01,imports,603317
Central America,1995-01-01,exports,87067
Central America,2005-01-01,exports,233506
Central America,2010-01-01,exports,336529
Central America,2015-01-01,exports,426846
Central America,2019-01-01,exports,508337
Central America,2020-01-01,exports,464416
Central America,2021-01-01,exports,546678
Central America,1995-01-01,balance_import_export,-17
Central America,2005-01-01,balance_import_export,-26340
Central America,2010-01-01,balance_import_export,-29642
Central America,2015-01-01,balance_import_export,-37441
Central America,2019-01-01,balance_import_export,-33090
Central America,2020-01-01,balance_import_export,7879
Central America,2021-01-01,balance_import_export,-56639
South America,1995-01-01,imports,134476
South America,2005-01-01,imports,211711
South America,2010-01-01,imports,448308
South America,2015-01-01,imports,480665
South America,2019-01-01,imports,473565
South America,2020-01-01,imports,403431
South America,2021-01-01,imports,573840
South America,1995-01-01,exports,127771
South America,2005-01-01,exports,315113
South America,2010-01-01,exports,524502
South America,2015-01-01,exports,462776
South America,2019-01-01,exports,510323
South America,2020-01-01,exports,461220
South America,2021-01-01,exports,619141
South America,1995-01-01,balance_import_export,-6706
South America,2005-01-01,balance_import_export,103402
South America,2010-01-01,balance_import_export,76194
South America,2015-01-01,balance_import_export,-17888
South America,2019-01-01,balance_import_export,36758
South America,2020-01-01,balance_import_export,57789
South America,2021-01-01,balance_import_export,45301
Asia,1995-01-01,imports,1500432
Asia,2005-01-01,imports,3172210
Asia,2010-01-01,imports,5459724
Asia,2015-01-01,imports,6213020
Asia,2019-01-01,imports,7246939
Asia,2020-01-01,imports,6779346
Asia,2021-01-01,imports,8877006
Asia,1995-01-01,exports,1557385
Asia,2005-01-01,exports,3569857
Asia,2010-01-01,exports,5896164
Asia,2015-01-01,exports,6827734
Asia,2019-01-01,exports,7757741
Asia,2020-01-01,exports,7440106
Asia,2021-01-01,exports,9781352
Asia,1995-01-01,balance_import_export,56953
Asia,2005-01-01,balance_import_export,397647
Asia,2010-01-01,balance_import_export,436440
Asia,2015-01-01,balance_import_export,614714
Asia,2019-01-01,balance_import_export,510802
Asia,2020-01-01,balance_import_export,660760
Asia,2021-01-01,balance_import_export,904346
Central Asia,1995-01-01,imports,9375
Central Asia,2005-01-01,imports,25644
Central Asia,2010-01-01,imports,40985
Central Asia,2015-01-01,imports,53082
Central Asia,2019-01-01,imports,71535
Central Asia,2020-01-01,imports,67869
Central Asia,2021-01-01,imports,79977
Central Asia,1995-01-01,exports,10782
Central Asia,2005-01-01,exports,36890
Central Asia,2010-01-01,exports,74961
Central Asia,2015-01-01,exports,64827
Central Asia,2019-01-01,exports,86070
Central Asia,2020-01-01,exports,69356
Central Asia,2021-01-01,exports,88191
Central Asia,1995-01-01,balance_import_export,1407
Central Asia,2005-01-01,balance_import_export,11246
Central Asia,2010-01-01,balance_import_export,33976
Central Asia,2015-01-01,balance_import_export,11746
Central Asia,2019-01-01,balance_import_export,14535
Central Asia,2020-01-01,balance_import_export,1487
Central Asia,2021-01-01,balance_import_export,8215
Eastern Asia,1995-01-01,imports,804190
Eastern Asia,2005-01-01,imports,1744378
Eastern Asia,2010-01-01,imports,2967424
Eastern Asia,2015-01-01,imports,3317929
Eastern Asia,2019-01-01,imports,3903325
Eastern Asia,2020-01-01,imports,3763396
Eastern Asia,2021-01-01,imports,4811211
Eastern Asia,1995-01-01,exports,894718
Eastern Asia,2005-01-01,exports,1937757
Eastern Asia,2010-01-01,exports,3219271
Eastern Asia,2015-01-01,exports,3942643
Eastern Asia,2019-01-01,exports,4291840
Eastern Asia,2020-01-01,exports,4303420
Eastern Asia,2021-01-01,exports,5445654
Eastern Asia,1995-01-01,balance_import_export,90528
Eastern Asia,2005-01-01,balance_import_export,193379
Eastern Asia,2010-01-01,balance_import_export,251847
Eastern Asia,2015-01-01,balance_import_export,624714
Eastern Asia,2019-01-01,balance_import_export,388515
Eastern Asia,2020-01-01,balance_import_export,540024
Eastern Asia,2021-01-01,balance_import_export,634442
South-eastern Asia,1995-01-01,imports,353943
South-eastern Asia,2005-01-01,imports,584010
South-eastern Asia,2010-01-01,imports,953410
South-eastern Asia,2015-01-01,imports,1100730
South-eastern Asia,2019-01-01,imports,1373339
South-eastern Asia,2020-01-01,imports,1273310
South-eastern Asia,2021-01-01,imports,1750205
South-eastern Asia,1995-01-01,exports,320454
South-eastern Asia,2005-01-01,exports,655071
South-eastern Asia,2010-01-01,exports,1054178
South-eastern Asia,2015-01-01,exports,1172850
South-eastern Asia,2019-01-01,exports,1413292
South-eastern Asia,2020-01-01,exports,1395370
South-eastern Asia,2021-01-01,exports,1888965
South-eastern Asia,1995-01-01,balance_import_export,-33489
South-eastern Asia,2005-01-01,balance_import_export,71061
South-eastern Asia,2010-01-01,balance_import_export,100767
South-eastern Asia,2015-01-01,balance_import_export,72119
South-eastern Asia,2019-01-01,balance_import_export,39954
South-eastern Asia,2020-01-01,balance_import_export,122060
South-eastern Asia,2021-01-01,balance_import_export,138759
Southern Asia,1995-01-01,imports,74082
Southern Asia,2005-01-01,imports,229179
Southern Asia,2010-01-01,imports,497340
Southern Asia,2015-01-01,imports,559091
Southern Asia,2019-01-01,imports,655936
Southern Asia,2020-01-01,imports,518976
Southern Asia,2021-01-01,imports,783041
Southern Asia,1995-01-01,exports,65912
Southern Asia,2005-01-01,exports,193182
Southern Asia,2010-01-01,exports,354892
Southern Asia,2015-01-01,exports,390610
Southern Asia,2019-01-01,exports,437883
Southern Asia,2020-01-01,exports,355690
Southern Asia,2021-01-01,exports,496914
Southern Asia,1995-01-01,balance_import_export,-8171
Southern Asia,2005-01-01,balance_import_export,-35997
Southern Asia,2010-01-01,balance_import_export,-142448
Southern Asia,2015-01-01,balance_import_export,-168481
Southern Asia,2019-01-01,balance_import_export,-218053
Southern Asia,2020-01-01,balance_import_export,-163286
Southern Asia,2021-01-01,balance_import_export,-286127
Western Asia,1995-01-01,imports,155335
Western Asia,2005-01-01,imports,407407
Western Asia,2010-01-01,imports,749249
Western Asia,2015-01-01,imports,953680
