T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,,"-98,067",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
1,"Total, all countries or areas",2019,Balance imports/exports (millions of US dollars),,,"-323,291",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
1,"Total, all countries or areas",2020,Balance imports/exports (millions of US dollars),,,"-247,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
1,"Total, all countries or areas",2021,Balance imports/exports (millions of US dollars),,,"-113,067",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,1995,Imports CIF (millions of US dollars),,,"114,352",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2005,Imports CIF (millions of US dollars),,,"246,228",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2010,Imports CIF (millions of US dollars),,,"468,435",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2015,Imports CIF (millions of US dollars),,,"547,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2019,Imports CIF (millions of US dollars),,,"564,030",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2020,Imports CIF (millions of US dollars),,,"496,167",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2021,Imports CIF (millions of US dollars),,,"593,682",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,1995,Exports FOB (millions of US dollars),,,"103,460",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2005,Exports FOB (millions of US dollars),,,"306,656",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2010,Exports FOB (millions of US dollars),,,"496,594",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2015,Exports FOB (millions of US dollars),,,"402,988",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2019,Exports FOB (millions of US dollars),,,"462,806",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2020,Exports FOB (millions of US dollars),,,"388,396",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2021,Exports FOB (millions of US dollars),,,"554,934",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,1995,Balance imports/exports (millions of US dollars),,,"-10,892",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2005,Balance imports/exports (millions of US dollars),,,"60,428",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
2,Africa,2010,Balance imports/exports (millions of US dollars),,,"28,159",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
