T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
124,Canada,2015,Imports CIF (millions of US dollars),G,,"419,375",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2019,Imports CIF (millions of US dollars),G,,"453,631",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2020,Imports CIF (millions of US dollars),G,,"404,863",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2021,Imports CIF (millions of US dollars),G,,"489,490",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,1995,Exports FOB (millions of US dollars),G,,"191,118",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2005,Exports FOB (millions of US dollars),G,,"360,552",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2010,Exports FOB (millions of US dollars),G,,"386,580",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2015,Exports FOB (millions of US dollars),G,,"408,697",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2019,Exports FOB (millions of US dollars),G,,"445,493",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2020,Exports FOB (millions of US dollars),G,,"388,377",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2021,Exports FOB (millions of US dollars),G,,"501,201",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,1995,Balance imports/exports (millions of US dollars),G,,"26,747",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2005,Balance imports/exports (millions of US dollars),G,,"46,108",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2010,Balance imports/exports (millions of US dollars),G,,"-5,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2015,Balance imports/exports (millions of US dollars),G,,"-10,677",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2019,Balance imports/exports (millions of US dollars),G,,"-8,138",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2020,Balance imports/exports (millions of US dollars),G,,"-16,486",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
124,Canada,2021,Balance imports/exports (millions of US dollars),G,,"11,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,1995,Imports CIF (millions of US dollars),G,,390,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2005,Imports CIF (millions of US dollars),G,,"1,191",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2010,Imports CIF (millions of US dollars),G,,828,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2015,Imports CIF (millions of US dollars),G,,915,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2019,Imports CIF (millions of US dollars),G,,"1,420",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2020,Imports CIF (millions of US dollars),G,,"1,335",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2021,Imports CIF (millions of US dollars),G,,"1,538",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,1995,Exports FOB (millions of US dollars),G,,4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2005,Exports FOB (millions of US dollars),G,,52,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2010,Exports FOB (millions of US dollars),G,,24,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2015,Exports FOB (millions of US dollars),G,,65,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2019,Exports FOB (millions of US dollars),G,,50,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2020,Exports FOB (millions of US dollars),G,,22,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2021,Exports FOB (millions of US dollars),G,,17,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,1995,Balance imports/exports (millions of US dollars),G,,-386,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2005,Balance imports/exports (millions of US dollars),G,,"-1,138",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2010,Balance imports/exports (millions of US dollars),G,,-804,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2015,Balance imports/exports (millions of US dollars),G,,-851,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2019,Balance imports/exports (millions of US dollars),G,,"-1,370",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2020,Balance imports/exports (millions of US dollars),G,,"-1,312",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
136,Cayman Islands,2021,Balance imports/exports (millions of US dollars),G,,"-1,521",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,1995,Imports CIF (millions of US dollars),S,,265,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2005,Imports CIF (millions of US dollars),S,,185,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2010,Imports CIF (millions of US dollars),S,,210,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2015,Imports CIF (millions of US dollars),S,,457,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2019,Imports CIF (millions of US dollars),S,,451,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2020,Imports CIF (millions of US dollars),S,,438,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2021,Imports CIF (millions of US dollars),S,,530,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,1995,Exports FOB (millions of US dollars),S,,120,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2005,Exports FOB (millions of US dollars),S,,111,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2010,Exports FOB (millions of US dollars),S,,90,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2015,Exports FOB (millions of US dollars),S,,97,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2019,Exports FOB (millions of US dollars),S,,45,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2020,Exports FOB (millions of US dollars),S,,58,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2021,Exports FOB (millions of US dollars),S,,72,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,1995,Balance imports/exports (millions of US dollars),S,,-146,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2005,Balance imports/exports (millions of US dollars),S,,-75,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2010,Balance imports/exports (millions of US dollars),S,,-120,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2015,Balance imports/exports (millions of US dollars),S,,-360,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2019,Balance imports/exports (millions of US dollars),S,,-406,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2020,Balance imports/exports (millions of US dollars),S,,-380,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
140,Central African Republic,2021,Balance imports/exports (millions of US dollars),S,,-458,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,1995,Imports CIF (millions of US dollars),S,,214,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2005,Imports CIF (millions of US dollars),S,,953,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2010,Imports CIF (millions of US dollars),S,,"2,507",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2015,Imports CIF (millions of US dollars),S,,"2,200",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2019,Imports CIF (millions of US dollars),S,,"1,063",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2020,Imports CIF (millions of US dollars),S,,"1,032",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2021,Imports CIF (millions of US dollars),S,,"1,055",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,1995,Exports FOB (millions of US dollars),S,,243,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2005,Exports FOB (millions of US dollars),S,,"3,095",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2010,Exports FOB (millions of US dollars),S,,"3,410",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2015,Exports FOB (millions of US dollars),S,,"2,900",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2019,Exports FOB (millions of US dollars),S,,"1,267",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2020,Exports FOB (millions of US dollars),S,,"1,450",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2021,Exports FOB (millions of US dollars),S,,"1,974",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,1995,Balance imports/exports (millions of US dollars),S,,28,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2005,Balance imports/exports (millions of US dollars),S,,"2,142",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2010,Balance imports/exports (millions of US dollars),S,,904,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2015,Balance imports/exports (millions of US dollars),S,,700,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2019,Balance imports/exports (millions of US dollars),S,,204,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2020,Balance imports/exports (millions of US dollars),S,,418,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
148,Chad,2021,Balance imports/exports (millions of US dollars),S,,919,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,1995,Imports CIF (millions of US dollars),S,,"14,903",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2005,Imports CIF (millions of US dollars),S,,"32,927",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2010,Imports CIF (millions of US dollars),S,,"59,007",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2015,Imports CIF (millions of US dollars),S,,"62,387",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2019,Imports CIF (millions of US dollars),S,,"69,591",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2020,Imports CIF (millions of US dollars),S,,"59,215",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2021,Imports CIF (millions of US dollars),S,,"91,837",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,1995,Exports FOB (millions of US dollars),S,,"15,901",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2005,Exports FOB (millions of US dollars),S,,"41,973",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2010,Exports FOB (millions of US dollars),S,,"71,106",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2015,Exports FOB (millions of US dollars),S,,"62,033",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2019,Exports FOB (millions of US dollars),S,,"69,681",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2020,Exports FOB (millions of US dollars),S,,"73,480",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2021,Exports FOB (millions of US dollars),S,,"94,705",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,1995,Balance imports/exports (millions of US dollars),S,,998,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2005,Balance imports/exports (millions of US dollars),S,,"9,046",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2010,Balance imports/exports (millions of US dollars),S,,"12,099",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2015,Balance imports/exports (millions of US dollars),S,,-354,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2019,Balance imports/exports (millions of US dollars),S,,90,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2020,Balance imports/exports (millions of US dollars),S,,"14,265",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
152,Chile,2021,Balance imports/exports (millions of US dollars),S,,"2,868",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,1995,Imports CIF (millions of US dollars),S,,"131,353","Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2005,Imports CIF (millions of US dollars),S,,"659,953","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2010,Imports CIF (millions of US dollars),S,,"1,396,002","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2015,Imports CIF (millions of US dollars),S,,"1,679,564","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2019,Imports CIF (millions of US dollars),S,,"2,079,285","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2020,Imports CIF (millions of US dollars),S,,"2,069,568","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2021,Imports CIF (millions of US dollars),S,,"2,684,363","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,1995,Exports FOB (millions of US dollars),S,,"148,616","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2005,Exports FOB (millions of US dollars),S,,"761,953","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2010,Exports FOB (millions of US dollars),S,,"1,577,764","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2015,Exports FOB (millions of US dollars),S,,"2,273,468","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2019,Exports FOB (millions of US dollars),S,,"2,499,207","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2020,Exports FOB (millions of US dollars),S,,"2,589,098","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2021,Exports FOB (millions of US dollars),S,,"3,362,302","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,1995,Balance imports/exports (millions of US dollars),S,,"17,263","Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2005,Balance imports/exports (millions of US dollars),S,,"102,001","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2010,Balance imports/exports (millions of US dollars),S,,"181,762","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2015,Balance imports/exports (millions of US dollars),S,,"593,904","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2019,Balance imports/exports (millions of US dollars),S,,"419,921","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2020,Balance imports/exports (millions of US dollars),S,,"519,530","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
156,China,2021,Balance imports/exports (millions of US dollars),S,,"677,939","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",1995,Imports CIF (millions of US dollars),G,,"196,072",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2005,Imports CIF (millions of US dollars),G,,"300,160",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2010,Imports CIF (millions of US dollars),G,,"441,369",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2015,Imports CIF (millions of US dollars),G,,"559,306",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2019,Imports CIF (millions of US dollars),G,,"578,590",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2020,Imports CIF (millions of US dollars),G,,"573,061",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2021,Imports CIF (millions of US dollars),G,,"713,173",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",1995,Exports FOB (millions of US dollars),G,,"173,871",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2005,Exports FOB (millions of US dollars),G,,"292,119",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2010,Exports FOB (millions of US dollars),G,,"400,692",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2015,Exports FOB (millions of US dollars),G,,"510,553",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2019,Exports FOB (millions of US dollars),G,,"535,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2020,Exports FOB (millions of US dollars),G,,"551,516",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2021,Exports FOB (millions of US dollars),G,,"670,926",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",1995,Balance imports/exports (millions of US dollars),G,,"-22,201",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2005,Balance imports/exports (millions of US dollars),G,,"-8,042",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2010,Balance imports/exports (millions of US dollars),G,,"-40,677",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2015,Balance imports/exports (millions of US dollars),G,,"-48,753",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2019,Balance imports/exports (millions of US dollars),G,,"-42,879",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2020,Balance imports/exports (millions of US dollars),G,,"-21,546",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
344,"China, Hong Kong SAR",2021,Balance imports/exports (millions of US dollars),G,,"-42,247",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
446,"China, Macao SAR",1995,Imports CIF (millions of US dollars),G,,"2,025",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
446,"China, Macao SAR",2005,Imports CIF (millions of US dollars),G,,"4,514",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
