total_imports_exports_and_balance_trade,year,trade_type,value_million_usd,country_code
British Virgin Islands,2010-01-01,imports,313,VGB
British Virgin Islands,2015-01-01,imports,430,VGB
British Virgin Islands,2019-01-01,imports,554,VGB
British Virgin Islands,2020-01-01,imports,590,VGB
British Virgin Islands,2021-01-01,imports,628,VGB
British Virgin Islands,1995-01-01,exports,11,VGB
British Virgin Islands,2005-01-01,exports,0,VGB
British Virgin Islands,2010-01-01,exports,0,VGB
British Virgin Islands,2015-01-01,exports,0,VGB
British Virgin Islands,2019-01-01,exports,0,VGB
British Virgin Islands,2020-01-01,exports,0,VGB
British Virgin Islands,2021-01-01,exports,0,VGB
British Virgin Islands,1995-01-01,balance_import_export,-110,VGB
British Virgin Islands,2005-01-01,balance_import_export,-226,VGB
British Virgin Islands,2010-01-01,balance_import_export,-313,VGB
British Virgin Islands,2015-01-01,balance_import_export,-430,VGB
British Virgin Islands,2019-01-01,balance_import_export,-554,VGB
British Virgin Islands,2020-01-01,balance_import_export,-590,VGB
British Virgin Islands,2021-01-01,balance_import_export,-628,VGB
Brunei Darussalam,1995-01-01,imports,2078,BRN
Brunei Darussalam,2005-01-01,imports,1447,BRN
Brunei Darussalam,2010-01-01,imports,2539,BRN
Brunei Darussalam,2015-01-01,imports,3229,BRN
Brunei Darussalam,2019-01-01,imports,5103,BRN
Brunei Darussalam,2020-01-01,imports,5343,BRN
Brunei Darussalam,2021-01-01,imports,8147,BRN
Brunei Darussalam,1995-01-01,exports,2379,BRN
Brunei Darussalam,2005-01-01,exports,6242,BRN
Brunei Darussalam,2010-01-01,exports,8908,BRN
Brunei Darussalam,2015-01-01,exports,6353,BRN
Brunei Darussalam,2019-01-01,exports,7039,BRN
Brunei Darussalam,2020-01-01,exports,6608,BRN
Brunei Darussalam,2021-01-01,exports,11172,BRN
Brunei Darussalam,1995-01-01,balance_import_export,301,BRN
Brunei Darussalam,2005-01-01,balance_import_export,4794,BRN
Brunei Darussalam,2010-01-01,balance_import_export,6369,BRN
Brunei Darussalam,2015-01-01,balance_import_export,3124,BRN
Brunei Darussalam,2019-01-01,balance_import_export,1936,BRN
Brunei Darussalam,2020-01-01,balance_import_export,1266,BRN
Brunei Darussalam,2021-01-01,balance_import_export,3025,BRN
Bulgaria,1995-01-01,imports,5469,BGR
Bulgaria,2005-01-01,imports,18162,BGR
Bulgaria,2010-01-01,imports,25360,BGR
Bulgaria,2015-01-01,imports,29265,BGR
Bulgaria,2019-01-01,imports,37765,BGR
Bulgaria,2020-01-01,imports,35027,BGR
Bulgaria,2021-01-01,imports,46011,BGR
Bulgaria,1995-01-01,exports,5220,BGR
Bulgaria,2005-01-01,exports,11739,BGR
Bulgaria,2010-01-01,exports,20608,BGR
Bulgaria,2015-01-01,exports,25779,BGR
Bulgaria,2019-01-01,exports,33454,BGR
Bulgaria,2020-01-01,exports,31915,BGR
Bulgaria,2021-01-01,exports,40894,BGR
Bulgaria,1995-01-01,balance_import_export,-249,BGR
Bulgaria,2005-01-01,balance_import_export,-6423,BGR
Bulgaria,2010-01-01,balance_import_export,-4752,BGR
Bulgaria,2015-01-01,balance_import_export,-3486,BGR
Bulgaria,2019-01-01,balance_import_export,-4311,BGR
Bulgaria,2020-01-01,balance_import_export,-3113,BGR
Bulgaria,2021-01-01,balance_import_export,-5117,BGR
Burkina Faso,1995-01-01,imports,484,BFA
Burkina Faso,2005-01-01,imports,1161,BFA
Burkina Faso,2010-01-01,imports,2048,BFA
Burkina Faso,2015-01-01,imports,2980,BFA
Burkina Faso,2019-01-01,imports,4259,BFA
Burkina Faso,2020-01-01,imports,4179,BFA
Burkina Faso,2021-01-01,imports,4710,BFA
Burkina Faso,1995-01-01,exports,171,BFA
Burkina Faso,2005-01-01,exports,332,BFA
Burkina Faso,2010-01-01,exports,1288,BFA
Burkina Faso,2015-01-01,exports,2177,BFA
Burkina Faso,2019-01-01,exports,3261,BFA
Burkina Faso,2020-01-01,exports,4375,BFA
Burkina Faso,2021-01-01,exports,5060,BFA
Burkina Faso,1995-01-01,balance_import_export,-313,BFA
Burkina Faso,2005-01-01,balance_import_export,-828,BFA
Burkina Faso,2010-01-01,balance_import_export,-760,BFA
Burkina Faso,2015-01-01,balance_import_export,-802,BFA
Burkina Faso,2019-01-01,balance_import_export,-998,BFA
Burkina Faso,2020-01-01,balance_import_export,196,BFA
Burkina Faso,2021-01-01,balance_import_export,350,BFA
Burundi,1995-01-01,imports,270,BDI
Burundi,2005-01-01,imports,258,BDI
Burundi,2010-01-01,imports,404,BDI
Burundi,2015-01-01,imports,561,BDI
Burundi,2019-01-01,imports,887,BDI
Burundi,2020-01-01,imports,909,BDI
Burundi,2021-01-01,imports,1085,BDI
Burundi,1995-01-01,exports,179,BDI
Burundi,2005-01-01,exports,114,BDI
Burundi,2010-01-01,exports,118,BDI
Burundi,2015-01-01,exports,114,BDI
Burundi,2019-01-01,exports,181,BDI
Burundi,2020-01-01,exports,162,BDI
Burundi,2021-01-01,exports,242,BDI
Burundi,1995-01-01,balance_import_export,-92,BDI
Burundi,2005-01-01,balance_import_export,-144,BDI
Burundi,2010-01-01,balance_import_export,-286,BDI
Burundi,2015-01-01,balance_import_export,-447,BDI
Burundi,2019-01-01,balance_import_export,-706,BDI
Burundi,2020-01-01,balance_import_export,-747,BDI
Burundi,2021-01-01,balance_import_export,-843,BDI
Cabo Verde,1995-01-01,imports,252,CPV
Cabo Verde,2005-01-01,imports,438,CPV
Cabo Verde,2010-01-01,imports,731,CPV
Cabo Verde,2015-01-01,imports,603,CPV
Cabo Verde,2019-01-01,imports,790,CPV
Cabo Verde,2020-01-01,imports,1131,CPV
Cabo Verde,2021-01-01,imports,1169,CPV
Cabo Verde,1995-01-01,exports,9,CPV
Cabo Verde,2005-01-01,exports,89,CPV
Cabo Verde,2010-01-01,exports,220,CPV
Cabo Verde,2015-01-01,exports,67,CPV
Cabo Verde,2019-01-01,exports,62,CPV
Cabo Verde,2020-01-01,exports,53,CPV
Cabo Verde,2021-01-01,exports,64,CPV
Cabo Verde,1995-01-01,balance_import_export,-243,CPV
Cabo Verde,2005-01-01,balance_import_export,-349,CPV
Cabo Verde,2010-01-01,balance_import_export,-511,CPV
Cabo Verde,2015-01-01,balance_import_export,-537,CPV
Cabo Verde,2019-01-01,balance_import_export,-728,CPV
Cabo Verde,2020-01-01,balance_import_export,-1078,CPV
Cabo Verde,2021-01-01,balance_import_export,-1105,CPV
Cambodia,1995-01-01,imports,217,KHM
Cambodia,2005-01-01,imports,2552,KHM
Cambodia,2010-01-01,imports,4903,KHM
Cambodia,2015-01-01,imports,10669,KHM
Cambodia,2019-01-01,imports,20279,KHM
Cambodia,2020-01-01,imports,19114,KHM
Cambodia,2021-01-01,imports,28318,KHM
Cambodia,1995-01-01,exports,76,KHM
Cambodia,2005-01-01,exports,3019,KHM
Cambodia,2010-01-01,exports,5590,KHM
Cambodia,2015-01-01,exports,8542,KHM
Cambodia,2019-01-01,exports,14825,KHM
Cambodia,2020-01-01,exports,17716,KHM
Cambodia,2021-01-01,exports,18210,KHM
Cambodia,1995-01-01,balance_import_export,-142,KHM
Cambodia,2005-01-01,balance_import_export,467,KHM
Cambodia,2010-01-01,balance_import_export,688,KHM
Cambodia,2015-01-01,balance_import_export,-2126,KHM
Cambodia,2019-01-01,balance_import_export,-5454,KHM
Cambodia,2020-01-01,balance_import_export,-1398,KHM
Cambodia,2021-01-01,balance_import_export,-10108,KHM
Cameroon,1995-01-01,imports,1079,CMR
Cameroon,2005-01-01,imports,2800,CMR
Cameroon,2010-01-01,imports,5133,CMR
Cameroon,2015-01-01,imports,6037,CMR
Cameroon,2019-01-01,imports,5707,CMR
Cameroon,2020-01-01,imports,6204,CMR
Cameroon,2021-01-01,imports,7534,CMR
Cameroon,1995-01-01,exports,1539,CMR
Cameroon,2005-01-01,exports,2849,CMR
Cameroon,2010-01-01,exports,3878,CMR
Cameroon,2015-01-01,exports,4053,CMR
Cameroon,2019-01-01,exports,4327,CMR
Cameroon,2020-01-01,exports,3574,CMR
Cameroon,2021-01-01,exports,4512,CMR
Cameroon,1995-01-01,balance_import_export,460,CMR
Cameroon,2005-01-01,balance_import_export,49,CMR
Cameroon,2010-01-01,balance_import_export,-1255,CMR
Cameroon,2015-01-01,balance_import_export,-1984,CMR
Cameroon,2019-01-01,balance_import_export,-1380,CMR
Cameroon,2020-01-01,balance_import_export,-2630,CMR
Cameroon,2021-01-01,balance_import_export,-3023,CMR
Canada,1995-01-01,imports,164371,CAN
Canada,2005-01-01,imports,314444,CAN
Canada,2010-01-01,imports,392109,CAN
Canada,2015-01-01,imports,419375,CAN
Canada,2019-01-01,imports,453631,CAN
Canada,2020-01-01,imports,404863,CAN
Canada,2021-01-01,imports,489490,CAN
Canada,1995-01-01,exports,191118,CAN
Canada,2005-01-01,exports,360552,CAN
Canada,2010-01-01,exports,386580,CAN
Canada,2015-01-01,exports,408697,CAN
Canada,2019-01-01,exports,445493,CAN
Canada,2020-01-01,exports,388377,CAN
Canada,2021-01-01,exports,501201,CAN
Canada,1995-01-01,balance_import_export,26747,CAN
Canada,2005-01-01,balance_import_export,46108,CAN
Canada,2010-01-01,balance_import_export,-5529,CAN
Canada,2015-01-01,balance_import_export,-10677,CAN
Canada,2019-01-01,balance_import_export,-8138,CAN
Canada,2020-01-01,balance_import_export,-16486,CAN
Canada,2021-01-01,balance_import_export,11711,CAN
Cayman Islands,1995-01-01,imports,390,CYM
Cayman Islands,2005-01-01,imports,1191,CYM
Cayman Islands,2010-01-01,imports,828,CYM
Cayman Islands,2015-01-01,imports,915,CYM
Cayman Islands,2019-01-01,imports,1420,CYM
Cayman Islands,2020-01-01,imports,1335,CYM
Cayman Islands,2021-01-01,imports,1538,CYM
Cayman Islands,1995-01-01,exports,4,CYM
Cayman Islands,2005-01-01,exports,52,CYM
Cayman Islands,2010-01-01,exports,24,CYM
Cayman Islands,2015-01-01,exports,65,CYM
Cayman Islands,2019-01-01,exports,50,CYM
Cayman Islands,2020-01-01,exports,22,CYM
Cayman Islands,2021-01-01,exports,17,CYM
Cayman Islands,1995-01-01,balance_import_export,-386,CYM
Cayman Islands,2005-01-01,balance_import_export,-1138,CYM
Cayman Islands,2010-01-01,balance_import_export,-804,CYM
Cayman Islands,2015-01-01,balance_import_export,-851,CYM
Cayman Islands,2019-01-01,balance_import_export,-1370,CYM
Cayman Islands,2020-01-01,balance_import_export,-1312,CYM
Cayman Islands,2021-01-01,balance_import_export,-1521,CYM
Central African Republic,1995-01-01,imports,265,CAF
Central African Republic,2005-01-01,imports,185,CAF
Central African Republic,2010-01-01,imports,210,CAF
Central African Republic,2015-01-01,imports,457,CAF
Central African Republic,2019-01-01,imports,451,CAF
Central African Republic,2020-01-01,imports,438,CAF
Central African Republic,2021-01-01,imports,530,CAF
Central African Republic,1995-01-01,exports,120,CAF
Central African Republic,2005-01-01,exports,111,CAF
Central African Republic,2010-01-01,exports,90,CAF
Central African Republic,2015-01-01,exports,97,CAF
Central African Republic,2019-01-01,exports,45,CAF
Central African Republic,2020-01-01,exports,58,CAF
Central African Republic,2021-01-01,exports,72,CAF
Central African Republic,1995-01-01,balance_import_export,-146,CAF
Central African Republic,2005-01-01,balance_import_export,-75,CAF
Central African Republic,2010-01-01,balance_import_export,-120,CAF
Central African Republic,2015-01-01,balance_import_export,-360,CAF
Central African Republic,2019-01-01,balance_import_export,-406,CAF
Central African Republic,2020-01-01,balance_import_export,-380,CAF
Central African Republic,2021-01-01,balance_import_export,-458,CAF
Chad,1995-01-01,imports,214,TCD
Chad,2005-01-01,imports,953,TCD
Chad,2010-01-01,imports,2507,TCD
Chad,2015-01-01,imports,2200,TCD
Chad,2019-01-01,imports,1063,TCD
Chad,2020-01-01,imports,1032,TCD
Chad,2021-01-01,imports,1055,TCD
Chad,1995-01-01,exports,243,TCD
Chad,2005-01-01,exports,3095,TCD
Chad,2010-01-01,exports,3410,TCD
Chad,2015-01-01,exports,2900,TCD
Chad,2019-01-01,exports,1267,TCD
Chad,2020-01-01,exports,1450,TCD
Chad,2021-01-01,exports,1974,TCD
Chad,1995-01-01,balance_import_export,28,TCD
Chad,2005-01-01,balance_import_export,2142,TCD
Chad,2010-01-01,balance_import_export,904,TCD
Chad,2015-01-01,balance_import_export,700,TCD
Chad,2019-01-01,balance_import_export,204,TCD
Chad,2020-01-01,balance_import_export,418,TCD
Chad,2021-01-01,balance_import_export,919,TCD
Chile,1995-01-01,imports,14903,CHL
Chile,2005-01-01,imports,32927,CHL
Chile,2010-01-01,imports,59007,CHL
Chile,2015-01-01,imports,62387,CHL
Chile,2019-01-01,imports,69591,CHL
Chile,2020-01-01,imports,59215,CHL
Chile,2021-01-01,imports,91837,CHL
Chile,1995-01-01,exports,15901,CHL
Chile,2005-01-01,exports,41973,CHL
Chile,2010-01-01,exports,71106,CHL
Chile,2015-01-01,exports,62033,CHL
Chile,2019-01-01,exports,69681,CHL
Chile,2020-01-01,exports,73480,CHL
Chile,2021-01-01,exports,94705,CHL
Chile,1995-01-01,balance_import_export,998,CHL
Chile,2005-01-01,balance_import_export,9046,CHL
Chile,2010-01-01,balance_import_export,12099,CHL
Chile,2015-01-01,balance_import_export,-354,CHL
Chile,2019-01-01,balance_import_export,90,CHL
Chile,2020-01-01,balance_import_export,14265,CHL
Chile,2021-01-01,balance_import_export,2868,CHL
China,1995-01-01,imports,131353,CHN
China,2005-01-01,imports,659953,CHN
China,2010-01-01,imports,1396002,CHN
China,2015-01-01,imports,1679564,CHN
China,2019-01-01,imports,2079285,CHN
China,2020-01-01,imports,2069568,CHN
China,2021-01-01,imports,2684363,CHN
China,1995-01-01,exports,148616,CHN
China,2005-01-01,exports,761953,CHN
China,2010-01-01,exports,1577764,CHN
China,2015-01-01,exports,2273468,CHN
China,2019-01-01,exports,2499207,CHN
China,2020-01-01,exports,2589098,CHN
China,2021-01-01,exports,3362302,CHN
China,1995-01-01,balance_import_export,17263,CHN
China,2005-01-01,balance_import_export,102001,CHN
China,2010-01-01,balance_import_export,181762,CHN
China,2015-01-01,balance_import_export,593904,CHN
China,2019-01-01,balance_import_export,419921,CHN
China,2020-01-01,balance_import_export,519530,CHN
China,2021-01-01,balance_import_export,677939,CHN
"China, Hong Kong SAR",1995-01-01,imports,196072,CHN
"China, Hong Kong SAR",2005-01-01,imports,300160,CHN
"China, Hong Kong SAR",2010-01-01,imports,441369,CHN
"China, Hong Kong SAR",2015-01-01,imports,559306,CHN
"China, Hong Kong SAR",2019-01-01,imports,578590,CHN
"China, Hong Kong SAR",2020-01-01,imports,573061,CHN
"China, Hong Kong SAR",2021-01-01,imports,713173,CHN
"China, Hong Kong SAR",1995-01-01,exports,173871,CHN
"China, Hong Kong SAR",2005-01-01,exports,292119,CHN
"China, Hong Kong SAR",2010-01-01,exports,400692,CHN
"China, Hong Kong SAR",2015-01-01,exports,510553,CHN
"China, Hong Kong SAR",2019-01-01,exports,535711,CHN
"China, Hong Kong SAR",2020-01-01,exports,551516,CHN
"China, Hong Kong SAR",2021-01-01,exports,670926,CHN
"China, Hong Kong SAR",1995-01-01,balance_import_export,-22201,CHN
"China, Hong Kong SAR",2005-01-01,balance_import_export,-8042,CHN
"China, Hong Kong SAR",2010-01-01,balance_import_export,-40677,CHN
"China, Hong Kong SAR",2015-01-01,balance_import_export,-48753,CHN
"China, Hong Kong SAR",2019-01-01,balance_import_export,-42879,CHN
"China, Hong Kong SAR",2020-01-01,balance_import_export,-21546,CHN
"China, Hong Kong SAR",2021-01-01,balance_import_export,-42247,CHN
"China, Macao SAR",1995-01-01,imports,2025,CHN
"China, Macao SAR",2005-01-01,imports,4514,CHN
"China, Macao SAR",2010-01-01,imports,5629,CHN
"China, Macao SAR",2015-01-01,imports,10603,CHN
"China, Macao SAR",2019-01-01,imports,12024,CHN
"China, Macao SAR",2020-01-01,imports,11950,CHN
"China, Macao SAR",2021-01-01,imports,19347,CHN
"China, Macao SAR",1995-01-01,exports,2025,CHN
"China, Macao SAR",2005-01-01,exports,2474,CHN
"China, Macao SAR",2010-01-01,exports,870,CHN
"China, Macao SAR",2015-01-01,exports,1339,CHN
"China, Macao SAR",2019-01-01,exports,1024,CHN
"China, Macao SAR",2020-01-01,exports,1025,CHN
"China, Macao SAR",2021-01-01,exports,1392,CHN
"China, Macao SAR",1995-01-01,balance_import_export,-1,CHN
"China, Macao SAR",2005-01-01,balance_import_export,-2040,CHN
"China, Macao SAR",2010-01-01,balance_import_export,-4760,CHN
"China, Macao SAR",2015-01-01,balance_import_export,-9264,CHN
"China, Macao SAR",2019-01-01,balance_import_export,-11000,CHN
"China, Macao SAR",2020-01-01,balance_import_export,-10926,CHN
"China, Macao SAR",2021-01-01,balance_import_export,-17954,CHN
Colombia,1995-01-01,imports,13883,COL
Colombia,2005-01-01,imports,21204,COL
Colombia,2010-01-01,imports,40683,COL
Colombia,2015-01-01,imports,54036,COL
Colombia,2019-01-01,imports,52696,COL
Colombia,2020-01-01,imports,43487,COL
Colombia,2021-01-01,imports,61099,COL
Colombia,1995-01-01,exports,10201,COL
Colombia,2005-01-01,exports,21190,COL
Colombia,2010-01-01,exports,39820,COL
Colombia,2015-01-01,exports,35691,COL
Colombia,2019-01-01,exports,39489,COL
Colombia,2020-01-01,exports,31056,COL
Colombia,2021-01-01,exports,41390,COL
Colombia,1995-01-01,balance_import_export,-3682,COL
Colombia,2005-01-01,balance_import_export,-14,COL
Colombia,2010-01-01,balance_import_export,-863,COL
Colombia,2015-01-01,balance_import_export,-18345,COL
Colombia,2019-01-01,balance_import_export,-13207,COL
Colombia,2020-01-01,balance_import_export,-12432,COL
Colombia,2021-01-01,balance_import_export,-19709,COL
Comoros,1995-01-01,imports,62,COM
Comoros,2005-01-01,imports,85,COM
Comoros,2010-01-01,imports,181,COM
Comoros,2015-01-01,imports,173,COM
Comoros,2019-01-01,imports,201,COM
Comoros,2020-01-01,imports,268,COM
Comoros,2021-01-01,imports,311,COM
Comoros,1995-01-01,exports,11,COM
Comoros,2005-01-01,exports,4,COM
Comoros,2010-01-01,exports,14,COM
Comoros,2015-01-01,exports,15,COM
Comoros,2019-01-01,exports,49,COM
Comoros,2020-01-01,exports,20,COM
Comoros,2021-01-01,exports,18,COM
Comoros,1995-01-01,balance_import_export,-51,COM
Comoros,2005-01-01,balance_import_export,-81,COM
Comoros,2010-01-01,balance_import_export,-167,COM
Comoros,2015-01-01,balance_import_export,-158,COM
Comoros,2019-01-01,balance_import_export,-152,COM
Comoros,2020-01-01,balance_import_export,-248,COM
Comoros,2021-01-01,balance_import_export,-294,COM
Congo,1995-01-01,imports,556,COG
Congo,2005-01-01,imports,1342,COG
Congo,2010-01-01,imports,4369,COG
Congo,2015-01-01,imports,10550,COG
Congo,2019-01-01,imports,2242,COG
Congo,2020-01-01,imports,1908,COG
Congo,2021-01-01,imports,2437,COG
Congo,1995-01-01,exports,1090,COG
Congo,2005-01-01,exports,4744,COG
Congo,2010-01-01,exports,6918,COG
Congo,2015-01-01,exports,8623,COG
Congo,2019-01-01,exports,5576,COG
Congo,2020-01-01,exports,4893,COG
Congo,2021-01-01,exports,6667,COG
Congo,1995-01-01,balance_import_export,534,COG
Congo,2005-01-01,balance_import_export,3402,COG
Congo,2010-01-01,balance_import_export,2548,COG
Congo,2015-01-01,balance_import_export,-1927,COG
Congo,2019-01-01,balance_import_export,3334,COG
Congo,2020-01-01,balance_import_export,2985,COG
Congo,2021-01-01,balance_import_export,4230,COG
Cook Islands,1995-01-01,imports,49,COK
Cook Islands,2005-01-01,imports,81,COK
Cook Islands,2010-01-01,imports,91,COK
Cook Islands,2015-01-01,imports,109,COK
Cook Islands,2019-01-01,imports,134,COK
Cook Islands,2020-01-01,imports,105,COK
Cook Islands,2021-01-01,imports,66,COK
Cook Islands,1995-01-01,exports,5,COK
Cook Islands,2005-01-01,exports,5,COK
Cook Islands,2010-01-01,exports,5,COK
Cook Islands,2015-01-01,exports,14,COK
Cook Islands,2019-01-01,exports,17,COK
Cook Islands,2020-01-01,exports,19,COK
Cook Islands,2021-01-01,exports,4,COK
Cook Islands,1995-01-01,balance_import_export,-44,COK
Cook Islands,2005-01-01,balance_import_export,-76,COK
Cook Islands,2010-01-01,balance_import_export,-85,COK
Cook Islands,2015-01-01,balance_import_export,-95,COK
Cook Islands,2019-01-01,balance_import_export,-117,COK
Cook Islands,2020-01-01,balance_import_export,-85,COK
Cook Islands,2021-01-01,balance_import_export,-63,COK
Costa Rica,1995-01-01,imports,3205,CRI
Costa Rica,2005-01-01,imports,9173,CRI
Costa Rica,2010-01-01,imports,13920,CRI
Costa Rica,2015-01-01,imports,15504,CRI
Costa Rica,2019-01-01,imports,16106,CRI
Costa Rica,2020-01-01,imports,14456,CRI
Costa Rica,2021-01-01,imports,17659,CRI
Costa Rica,1995-01-01,exports,2702,CRI
Costa Rica,2005-01-01,exports,7151,CRI
Costa Rica,2010-01-01,exports,9045,CRI
Costa Rica,2015-01-01,exports,9578,CRI
Costa Rica,2019-01-01,exports,11452,CRI
Costa Rica,2020-01-01,exports,11623,CRI
Costa Rica,2021-01-01,exports,16060,CRI
Costa Rica,1995-01-01,balance_import_export,-504,CRI
Costa Rica,2005-01-01,balance_import_export,-2023,CRI
Costa Rica,2010-01-01,balance_import_export,-4875,CRI
Costa Rica,2015-01-01,balance_import_export,-5926,CRI
Costa Rica,2019-01-01,balance_import_export,-4654,CRI
Costa Rica,2020-01-01,balance_import_export,-2833,CRI
Costa Rica,2021-01-01,balance_import_export,-1599,CRI
Côte d’Ivoire,1995-01-01,imports,2472,CIV
Côte d’Ivoire,2005-01-01,imports,5865,CIV
Côte d’Ivoire,2010-01-01,imports,7849,CIV
Côte d’Ivoire,2015-01-01,imports,10406,CIV
Côte d’Ivoire,2019-01-01,imports,10483,CIV
Côte d’Ivoire,2020-01-01,imports,10605,CIV
Côte d’Ivoire,2021-01-01,imports,14043,CIV
Côte d’Ivoire,1995-01-01,exports,3736,CIV
Côte d’Ivoire,2005-01-01,exports,7248,CIV
Côte d’Ivoire,2010-01-01,exports,10284,CIV
Côte d’Ivoire,2015-01-01,exports,12560,CIV
Côte d’Ivoire,2019-01-01,exports,12718,CIV
Côte d’Ivoire,2020-01-01,exports,12429,CIV
Côte d’Ivoire,2021-01-01,exports,15384,CIV
Côte d’Ivoire,1995-01-01,balance_import_export,1264,CIV
Côte d’Ivoire,2005-01-01,balance_import_export,1383,CIV
Côte d’Ivoire,2010-01-01,balance_import_export,2434,CIV
Côte d’Ivoire,2015-01-01,balance_import_export,2154,CIV
Côte d’Ivoire,2019-01-01,balance_import_export,2235,CIV
Côte d’Ivoire,2020-01-01,balance_import_export,1824,CIV
Côte d’Ivoire,2021-01-01,balance_import_export,1341,CIV
Croatia,1995-01-01,imports,7509,HRV
Croatia,2005-01-01,imports,18560,HRV
Croatia,2010-01-01,imports,20067,HRV
Croatia,2015-01-01,imports,20580,HRV
Croatia,2019-01-01,imports,28004,HRV
Croatia,2020-01-01,imports,26096,HRV
Croatia,2021-01-01,imports,33646,HRV
Croatia,1995-01-01,exports,4633,HRV
Croatia,2005-01-01,exports,8773,HRV
Croatia,2010-01-01,exports,11811,HRV
Croatia,2015-01-01,exports,12844,HRV
Croatia,2019-01-01,exports,17063,HRV
Croatia,2020-01-01,exports,16991,HRV
Croatia,2021-01-01,exports,22674,HRV
Croatia,1995-01-01,balance_import_export,-2877,HRV
Croatia,2005-01-01,balance_import_export,-9788,HRV
Croatia,2010-01-01,balance_import_export,-8256,HRV
Croatia,2015-01-01,balance_import_export,-7737,HRV
Croatia,2019-01-01,balance_import_export,-10941,HRV
Croatia,2020-01-01,balance_import_export,-9105,HRV
Croatia,2021-01-01,balance_import_export,-10972,HRV
Cuba,1995-01-01,imports,2874,CUB
Cuba,2005-01-01,imports,8084,CUB
Cuba,2010-01-01,imports,11488,CUB
Cuba,2015-01-01,imports,12638,CUB
Cuba,2019-01-01,imports,7137,CUB
Cuba,2020-01-01,imports,5121,CUB
Cuba,2021-01-01,imports,5292,CUB
Cuba,1995-01-01,exports,1491,CUB
Cuba,2005-01-01,exports,2319,CUB
Cuba,2010-01-01,exports,4914,CUB
Cuba,2015-01-01,exports,3618,CUB
Cuba,2019-01-01,exports,962,CUB
Cuba,2020-01-01,exports,1092,CUB
Cuba,2021-01-01,exports,1006,CUB
Cuba,1995-01-01,balance_import_export,-1384,CUB
Cuba,2005-01-01,balance_import_export,-5766,CUB
Cuba,2010-01-01,balance_import_export,-6574,CUB
Cuba,2015-01-01,balance_import_export,-9020,CUB
Cuba,2019-01-01,balance_import_export,-6175,CUB
Cuba,2020-01-01,balance_import_export,-4029,CUB
Cuba,2021-01-01,balance_import_export,-4285,CUB
Cyprus,1995-01-01,imports,3694,CYP
Cyprus,2005-01-01,imports,6382,CYP
Cyprus,2010-01-01,imports,8645,CYP
Cyprus,2015-01-01,imports,7133,CYP
Cyprus,2019-01-01,imports,9179,CYP
Cyprus,2020-01-01,imports,8729,CYP
Cyprus,2021-01-01,imports,10089,CYP
Cyprus,1995-01-01,exports,1231,CYP
Cyprus,2005-01-01,exports,1546,CYP
Cyprus,2010-01-01,exports,1506,CYP
Cyprus,2015-01-01,exports,3367,CYP
Cyprus,2019-01-01,exports,3521,CYP
Cyprus,2020-01-01,exports,3137,CYP
Cyprus,2021-01-01,exports,3887,CYP
Cyprus,1995-01-01,balance_import_export,-2463,CYP
Cyprus,2005-01-01,balance_import_export,-4836,CYP
Cyprus,2010-01-01,balance_import_export,-7138,CYP
Cyprus,2015-01-01,balance_import_export,-3766,CYP
Cyprus,2019-01-01,balance_import_export,-5658,CYP
Cyprus,2020-01-01,balance_import_export,-5591,CYP
Cyprus,2021-01-01,balance_import_export,-6202,CYP
Czechia,1995-01-01,imports,25303,CZE
Czechia,2005-01-01,imports,76527,CZE
Czechia,2010-01-01,imports,125691,CZE
Czechia,2015-01-01,imports,140716,CZE
Czechia,2019-01-01,imports,179273,CZE
Czechia,2020-01-01,imports,171440,CZE
Czechia,2021-01-01,imports,211839,CZE
Czechia,1995-01-01,exports,21686,CZE
Czechia,2005-01-01,exports,78209,CZE
Czechia,2010-01-01,exports,132141,CZE
Czechia,2015-01-01,exports,157194,CZE
Czechia,2019-01-01,exports,199470,CZE
Czechia,2020-01-01,exports,192307,CZE
Czechia,2021-01-01,exports,227161,CZE
Czechia,1995-01-01,balance_import_export,-3618,CZE
Czechia,2005-01-01,balance_import_export,1681,CZE
Czechia,2010-01-01,balance_import_export,6450,CZE
Czechia,2015-01-01,balance_import_export,16478,CZE
Czechia,2019-01-01,balance_import_export,20197,CZE
Czechia,2020-01-01,balance_import_export,20867,CZE
Czechia,2021-01-01,balance_import_export,15322,CZE
Dem. People's Rep. Korea,1995-01-01,imports,3122,PRK
Dem. People's Rep. Korea,2005-01-01,imports,1466,PRK
Dem. People's Rep. Korea,2010-01-01,imports,1957,PRK
Dem. People's Rep. Korea,2015-01-01,imports,2604,PRK
Dem. People's Rep. Korea,2019-01-01,imports,2958,PRK
Dem. People's Rep. Korea,2020-01-01,imports,617,PRK
Dem. People's Rep. Korea,2021-01-01,imports,308,PRK
Dem. People's Rep. Korea,1995-01-01,exports,1739,PRK
Dem. People's Rep. Korea,2005-01-01,exports,787,PRK
Dem. People's Rep. Korea,2010-01-01,exports,882,PRK
Dem. People's Rep. Korea,2015-01-01,exports,987,PRK
Dem. People's Rep. Korea,2019-01-01,exports,435,PRK
Dem. People's Rep. Korea,2020-01-01,exports,212,PRK
Dem. People's Rep. Korea,2021-01-01,exports,247,PRK
Dem. People's Rep. Korea,1995-01-01,balance_import_export,-1382,PRK
Dem. People's Rep. Korea,2005-01-01,balance_import_export,-679,PRK
Dem. People's Rep. Korea,2010-01-01,balance_import_export,-1075,PRK
