,country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
48,CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
49,CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
50,CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
51,CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
52,CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
53,CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
54,CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
55,CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
56,CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
57,CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
58,CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
59,CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
60,CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
61,CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
62,CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
63,CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
64,CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
