country_code,year,paper_pulp_export_tonnes
AZE,2002,0
AZE,2001,0
AZE,2000,0
AZE,1999,0
AZE,1998,200
AZE,1997,200
BHS,2020,199
BHS,2019,199
BHS,2018,199
BHS,2017,199
BHS,2016,199
BHS,2015,199
BHS,2014,199
BHS,2013,199
BHS,2012,199
BHS,2011,199
BHS,2010,199
BHS,2009,199
BHS,2008,199
BHS,2007,91
BHS,2006,91
BHS,2005,0
BHS,2004,0
BHS,2003,0
BHS,2002,0
BHS,2001,0
BHS,2000,0
BHS,1999,0
BHS,1998,0
BHS,1997,0
BHS,1996,0
BHS,1995,0
BHS,1994,0
BHR,2020,537
BHR,2019,537
BHR,2018,559
BHR,2017,559
BHR,2016,559
BHR,2015,567
BHR,2014,311
BHR,2013,263
BHR,2012,263
BHR,2011,263
BHR,2010,263
BHR,2009,255
BHR,2008,255
BHR,2007,200
BGD,2020,6
BGD,2019,6
BGD,2018,8
BGD,2017,7
BGD,2016,8
BGD,2015,263
BGD,2014,263
BGD,2013,263
BGD,2012,263
BGD,2011,263
BGD,2010,263
BGD,2009,160
BRB,2020,31
BRB,2019,31
BRB,2018,31
BRB,2017,31
BRB,2016,31
BRB,2015,31
BRB,2014,31
BRB,2013,44
BRB,2012,44
BRB,2011,46
BRB,2010,46
BRB,2009,309
BRB,2008,34
BRB,2007,34
BRB,2006,21
BRB,2005,20
BRB,2004,20
BRB,2003,20
BRB,2002,0
BRB,2001,0
BRB,2000,0
BRB,1999,0
BRB,1998,0
BRB,1997,0
BRB,1996,0
BRB,1995,1134
BRB,1994,0
BRB,1993,0
BLR,2020,216200
BLR,2019,115823
BLR,2018,22123
BLR,2017,1262
BLR,2016,1210
BLR,2015,1228
BLR,2014,1793
BLR,2013,1800
BLR,2012,1411
BLR,2011,235
BLR,2010,219
BLR,2009,200
BLR,2008,200
BLR,2007,200
BLR,2006,200
BLR,2005,200
BLR,2004,200
BLR,2003,200
BLR,2002,300
BLR,2001,0
BLR,2000,100
BLR,1999,100
BLR,1998,1199
BLR,1997,500
BLR,1996,800
BLR,1995,1000
BLR,1994,1000
BLR,1993,20
BLR,1992,100
BEL,2020,586578
BEL,2019,586578
BEL,2018,698459
BEL,2017,743027
BEL,2016,777902
BEL,2015,744478
BEL,2014,789211
BEL,2013,764470
BEL,2012,726390
BEL,2011,782199
BEL,2010,1084326
BEL,2009,944345
BEL,2008,1118499
BEL,2007,1420431
BEL,2006,1045841
BEL,2005,696183
BEL,2004,696166
BEL,2003,602333
